SQ_CANDIDATO,VR_BEM_CANDIDATO,DS_CARGO,QT_VOTOS,NM_VOTAVEL
210000631794,549000000000.0,Prefeito,1845,VALDEMAR CIBULSKI
210000631844,61300000000.0,Vereador,179,PAULINA DE LOURDES DA SILVA DIAS
210000631845,264349000000.0,Vereador,212,RENATO ANTONIO DA SILVA TONIOLO
210000631846,94093090000.0,Vereador,63,VIRGILINO DOS SANTOS
210000631847,2324000000000.0,Vereador,113,IVETE MARIA FAVRETO ZATI
210000631848,40317490000.0,Vereador,129,AISLAN FRITSCHE DA SILVEIRA
210000631849,133100000000.0,Vereador,303,ISAIAS WASTCHUK
210000631850,163500000000.0,Vereador,39,ALCEMIR MANDEBURA
210000631851,148200000000.0,Vereador,142,IDACIR JOSÉ KUSMA
210000631852,56000000000.0,Vereador,143,CLAUDIO KESSLER
210000631853,28502220000.0,Vereador,71,IVETE SALETE MORANDI
210000631854,104452000000.0,Vereador,215,RAFAELA MORONI BALD
210000631855,1630000000.0,Vereador,83,ELISA SALETE STRINGHINI
210000631856,88051950000.0,Vereador,105,ADILSON VOLMIR ZUCHI
210000631859,218028280000.0,Prefeito,2676,JORGE GUSTAVO COSTA MEDEIROS
210000631864,11860000000000.0,Vereador,245,JOSE ELVANIR RENZ
210000631866,38000000000.0,Vereador,94,CLEBER CORSINI RAMOS
210000631867,5000000000.0,Vereador,164,JONATHAN FREITAS MANZONI
210000631870,215000000000.0,Vereador,271,CARLOS AILTON VEZZOSI WALLAU
210000631871,186000000000.0,Vereador,8,CLOMAR JOSE CLIVERARO FUMACO
210000631872,50000000000.0,Vereador,51,ELISANDRA DA SILVA RAMBO
210000631873,150000000000.0,Vereador,372,RICARDO MARCELO BACELAR DE ALMEIDA
210000631874,545000000000.0,Vereador,288,ELOIR ELOI SCHRÖER
210000631875,12500000000.0,Vereador,82,VANESSA PERES BONELI
210000631876,10000000000.0,Vereador,22,NILVA LOECI AZEVEDO
210000631877,14000000000.0,Vereador,56,RUDIMAR DE MORAES PIZZI
210000631878,5000000000.0,Vereador,22,CARLOS NERI PINTO IGLESSIAS
210000631879,30000000000.0,Vereador,27,SALETE NUNES PADILHA
210000631881,70847820000.0,Vereador,173,ÉDEN ARI GOMES CALDAS
210000632094,1980000000000.0,Vereador,86,ALAOR SOUZA RAYMUNDO
210000632422,119000000000.0,Prefeito,1084,ARI ANTONIO ZILIOTTO
210000632440,210000000.0,Prefeito,71,MARIA MEDIANEIRA ZALTRON DE SÁ
210000632442,70080250000.0,Vereador,12,MICHELI LIPPERT NUNES
210000632444,35006060000.0,Vereador,45,REGIS FERNANDO WEIAND SOVERAL
210000632445,2392480000.0,Vereador,46,ALESSANDRO GOMES DA CUNHA
210000632446,18330000000.0,Vereador,20,MARCIA CRISTINA MARTINS
210000632931,5000000000.0,Vereador,550,ADEMIR MARQUES VEIGA
210000632932,139780590000.0,Vereador,100,GILBERTO ANTÔNIO GEWEHR
210000632933,46000000000.0,Vereador,33,HURDILEIA FONSECA LANDSKRON
210000632934,40000000000.0,Vereador,175,JULIO CESAR DA CUNHA ALVES
210000632937,14523920000.0,Vereador,533,IÚRI DE LEMOS CASTILHOS
210000632939,750916490000.0,Vereador,909,LUIZ CARLOS MORAES COSTA
210000632941,48000000000.0,Vereador,162,LUIZ ANDRE DA COSTA PINHEIRO
210000632944,17000000000.0,Vereador,60,ROSANE LEAL ALMEIDA
210000633287,246780190000.0,Prefeito,716,ROGERIO BARBIERI CARNIEL
210000633326,30000000000.0,Prefeito,2843,LUCIANO LEITES ROCHA
210000633327,15000000000.0,Vereador,71,ANDERSON PINHEIRO DE FREITAS
210000633328,500000000000.0,Vereador,23,BARBARA REGINA PFINGSTAG BARTH
210000633329,34000000000.0,Vereador,19,CENI DOS SANTOS POMPEO WEISS
210000633330,69000000000.0,Vereador,4,JOSUE FREITAS DA SILVA
210000633331,353000000000.0,Vereador,281,OSMAR CARVALHO DIDOLICHE
210000633334,17000000000.0,Vereador,65,MARIA CHRISTINA LIMA DE SOUZA
210000633335,60000000000.0,Vereador,76,VÂNIA BRASIL SCHUASTE
210000633336,15000000000.0,Vereador,107,VERA LÚCIA ZANON
210000633338,45000000000.0,Vereador,107,FLAVIO SILVA PEREIRA
210000633339,100000000000.0,Vereador,42,CLEO RIBEIRO DA SILVA
210000633340,250000000000.0,Vereador,93,MARCO ANTONIO PEREIRA CARDOSO
210000633341,1199500000000.0,Prefeito,1230,DARCI GARCIA DE FREITAS
210000633357,25000000000.0,Vereador,39,ENIO ZALMIR FERREIRA BORTOLLI
210000633358,481000000000.0,Vereador,53,LUIZ EDUARDO BOTOLI DE OLIVEIRA
210000633360,10000000000.0,Vereador,93,ANA MARTA JUNQUEIRA DA CRUZ
210000633361,900000000000.0,Vereador,69,ADEMAR ROGERIO DE CARVALHO
210000633362,150000000000.0,Vereador,129,ANA LUCÍA MACIEL BRANDÃO
210000633365,734000000000.0,Vereador,17,TRAUDI MARIA HISTER
210000633366,158000000000.0,Vereador,9,ARTUR OSCAR RODRIGUES
210000633367,135000000000.0,Vereador,150,LAIS LUCAS
210000633381,1740000000000.0,Vereador,124,ARMANDO RAME
210000633382,1317370000.0,Vereador,14,ELIANE DE AZEVEDO FRANCO
210000633383,7000000000.0,Vereador,24,JOSE ANTONIO VIEIRA
210000633384,15000000000.0,Vereador,15,CLEDIO RUPPENTHAL
210000633385,390000000000.0,Vereador,40,JORGE MEDEIROS DA SILVA
210000633386,1384000000000.0,Vereador,30,JOSE LUIS MARTINS JUNIOR
210000633387,367000000000.0,Vereador,83,CRISTIANO DORNELLES FARIAS
210000633388,20000000000.0,Vereador,15,JOAO FRANCISCO BITTENCOURT
210000633389,37000000000.0,Vereador,5,MARIA TERESA GOULART DE SOUZA
210000633391,220000000000.0,Vereador,41,VLADEMIR BOTELHO DORNELLES
210000633467,18000000000.0,Vereador,18,ERON CARLOS NUNES FERREIRA
210000633468,10000000000.0,Vereador,18,JULIANO FELIPE KIST
210000633471,311657340000.0,Vereador,23,ROBERTO JOSE LARROSSA
210000633472,40000000000.0,Vereador,3,MARILDA FLECK DA SILVA GENRO
210000633474,23000000000.0,Vereador,24,JOBER LUIS DA SILVA NUNES
210000633475,516000000000.0,Vereador,93,LUIZ ABEL FERREIRA DE SOUZA JUNIOR
210000633476,4500000000.0,Vereador,3,DINEIA WIEBBELLING
210000633760,278045460000.0,Vereador,223,LUIZ ARISTIDES PASA DE FREITAS
210000633761,2000000000.0,Vereador,238,JANDERSON DIAS NUNES
210000633762,14500830000.0,Vereador,43,JUNIA PEIXOTO
210000633763,1238070000.0,Vereador,148,SONIA REGINA DE MORAES BONELLI
210000633764,316900680000.0,Vereador,172,ANTONIO ARAQUENS DORNELLES
210000633765,9500000000.0,Vereador,199,JULIO CESAR PADILHA DOS SANTOS
210000633766,432253160000.0,Vereador,605,JULIO MIGUEL NUNES VIEIRA
210000633767,4532640000.0,Vereador,34,MARIZANE DE LURDES GOMES DA SILVA
210000633768,203984390000.0,Vereador,153,BEATRIZ RODRIGUES BENTO PEREIRA
210000633769,353053780000.0,Vereador,164,ANILDO MORAES
210000633770,38454150000.0,Vereador,343,DANIELE ZANELLA KARNOPP
210000633772,14754930000.0,Vereador,205,RAINOLDO WAIDE
210000633773,1900000000.0,Vereador,34,GUILHERME KIPPER DE LIMA
210000633949,3140001000000.0,Prefeito,1662,ALFREDO MAURICIO BARBOSA BORGES
210000633996,7299000000.0,Prefeito,687,PAULO FRANCISCO PEREIRA DA SILVA
210000633999,209000000000.0,Vereador,30,CLAUDETE MARIA DOS SANTOS
210000634000,2640000000.0,Vereador,39,ANALDIR JOSÉ RODRIGUES DA SILVA
210000634001,25330000000.0,Vereador,101,ANTÔNIO MATUSALEN FRANÇA
210000634002,116000000000.0,Vereador,33,ÉLIO VALDIR DO SANTOS
210000634003,35873000000.0,Vereador,32,JOSUÉ MARTINS PEDROSO
210000634009,3441000000.0,Vereador,57,JOÃO NETO RODRIGUES MACHADO
210000634117,288097240000.0,Prefeito,874,ADIR GIACOMINI
210000634119,75000000000.0,Vereador,67,GUIOMAR TERESINHA HECKLER
210000634120,15000000000.0,Vereador,65,MARLY THEREZINHA POLLA ERLO
210000634121,60000000000.0,Vereador,196,ROSANGELA STRACK
210000634122,10000000000.0,Vereador,14,VALDECIR DIAS MARTINS
210000634123,300000000000.0,Vereador,32,ISMAEL MARCELO STEILMANN
210000634124,327000000000.0,Vereador,12,LUCIA MARIA SCHMIDT
210000634126,870000000000.0,Vereador,101,MARIA DENILCE BARCAROL
210000634127,39753680000.0,Vereador,64,VIRGINIA QUADROS DA SILVA
210000634128,26440600000.0,Vereador,107,MARIA SALETE DA SILVA ELY
210000634129,88000000000.0,Vereador,39,JOSE CARLOS BODANESE
210000634130,83611960000.0,Vereador,35,EDUARDO ANTONIO ZINI
210000634131,215000000000.0,Vereador,115,CLEOMAR ALVES DE FREITAS
210000634132,273000000000.0,Vereador,12,VILSON SOMER
210000634133,76000000000.0,Vereador,96,VALI EVARISTO GIACOMELLI
210000634134,22000000000.0,Vereador,42,HELENA SCHMITZ KAI
210000634135,98000000000.0,Vereador,73,ADAIR KLEIN
210000634137,108000000000.0,Vereador,107,ELIO AIRES
210000634138,155000000000.0,Vereador,42,MAICON ANDRE TRES
210000634237,71600000000.0,Vereador,319,ADEMIR COLOMBO
210000634238,45391460000.0,Vereador,406,CILONEI BARBIERI MONTEIRO
210000634239,241000000000.0,Vereador,1022,FELIPE MAIOLI
210000634240,127689570000.0,Vereador,97,GIANFRANCO BRUTTOMESSO LONGHI
210000634241,54502480000.0,Vereador,91,IONE PAGNUSSAT
210000634242,11000000000.0,Vereador,291,JOEL ANTONIO CORREA
210000634243,131841180000.0,Vereador,645,JORGE CENCI
210000634244,536700000000.0,Vereador,207,LUCIANO PASQUAL
210000634245,1697494270000.0,Vereador,433,MARCELO CISLAGHI BROILO
210000634247,505000000000.0,Vereador,50,ORILDO FRANCISCO FERREIRA DA SILVA
210000634248,447121900000.0,Vereador,529,ARGÍDIO ANDRÉ SCHMITZ
210000634249,13000000000.0,Vereador,112,CARLOS CESAR DE ALMEIDA
210000634250,30000000000.0,Vereador,59,CASANDRA TEIXEIRA DA SILVA
210000634251,647705810000.0,Vereador,731,ELEONORA PETERS BROILO
210000634252,272000000000.0,Vereador,152,ENZO RODRIGUES LOPES
210000634253,40000000000.0,Vereador,118,MÁRCIO PERGHER
210000634255,133800000000.0,Vereador,550,MARLI BORTOLINI DA SILVA
210000634256,11486000000.0,Vereador,101,RANGEL CRISTIANO ALVES DOS SANTOS
210000634257,200000000000.0,Vereador,42,SÉRGIO LUIZ TELLES FERREIRA
210000634258,143661000000.0,Vereador,266,TÂNIA REGINA SOARES
210000634259,1415930000.0,Vereador,91,NOELI MAGGIONI
210000634260,144800000000.0,Vereador,132,LINO DE ARAUJO PEREIRA
210000634261,302000000000.0,Vereador,47,VÂNIA MARIA STRINGHI ZARDO
210000634262,140000000000.0,Vereador,64,CHARLES PASA
210000634279,4000000000.0,Vereador,44,MONIQUE OLIVEIRA PEREIRA
210000634280,170140000000.0,Vereador,186,EDILSON NUNES FRANCISCO
210000634281,42089470000.0,Vereador,246,EUGÊNIO DA SILVA LEITE
